BATCH,ANIMAL.ID,STRAIN,TREATMENT,TotDist,MovTime,VMovNo,MrgDist,CtrDist,PctCenter
40,737,C57BR/cdJ,OVX,3791,286.7,102,2243,1548,26.7
40,738,C57BR/cdJ,SHAM,3187,278.9,95,1691,1496,30.1833
40,739,P/J,SHAM,3231,269.5,130,2302,928,12.1
40,740,P/J,OVX,2668,218.2,97,2301,368,7.2
40,741,P/J,OVX,2391,211.8,76,2093,298,7.4333
40,742,P/J,SHAM,2847,210.9,75,2178,670,8.6667
40,743,C58/J,SHAM,4086,271.5,97,2877,1207,12.4833
40,744,C58/J,OVX,3804,248.9,85,3193,609,7.2333
40,745,C58/J,SHAM,3060,212.3,62,2400,662,9.95
40,746,C58/J,OVX,3726,243.8,70,3179,547,5.6667
41,747,C57BR/cdJ,SHAM,11860,508.4,91,6810,5050,33.9333
41,748,C57BR/cdJ,SHAM,7424,418.6,126,4462,2962,25.8667
41,749,C57BR/cdJ,OVX,4542,284.9,144,2825,1715,23.55
41,750,C57BR/cdJ,OVX,5313,328.9,111,3230,2085,22.1333
41,751,C58/J,OVX,3287,213.9,122,2413,874,9.75
41,752,C58/J,SHAM,3310,250.1,89,2024,1288,21.6167
41,753,C58/J,OVX,4687,289.4,140,3510,1175,8.4167
41,754,C58/J,SHAM,10681,429.1,0,8802,1878,15.85
41,755,LG/J,SHAM,2494,240,125,1545,950,23.9167
41,756,LG/J,OVX,2222,234.9,77,1997,223,5.5167
41,757,LG/J,SHAM,2361,256.2,104,2080,280,9.3333
41,758,LG/J,OVX,2365,240.5,75,1915,451,9.2333
41,759,CZECHII/EiJ,SHAM,1951,141.4,48,1593,358,10.45
41,760,CZECHII/EiJ,OVX,1708,130.8,57,1448,261,5.8833
41,761,CZECHII/EiJ,SHAM,2174,173.1,47,1761,411,8.1
41,762,CZECHII/EiJ,OVX,1508,120.9,39,1274,235,4.6167
41,763,PWD/PhJ,SHAM,2233,152.9,67,1636,597,8.5667
41,765,PWD/PhJ,OVX,2110,148,65,1662,449,6.6167
41,766,PWD/PhJ,SHAM,1165,112.2,42,900,266,7.9667
42,767,SEA/GnJ,SHAM,2016,164.8,80,1393,624,14.4167
42,768,SEA/GnJ,OVX,2090,167.5,82,1785,304,10.85
42,769,SEA/GnJ,SHAM,2536,186.5,117,1839,695,16.75
42,771,MOLF/EiJ,OVX,2639,173.5,90,1978,661,9.1833
42,772,MOLF/EiJ,SHAM,3431,278.2,102,2607,825,16.6333
42,773,MOLF/EiJ,SHAM,2212,187.8,87,1817,396,14.25
42,774,MOLF/EiJ,OVX,3975,223.4,116,2949,1027,12.95
42,775,I/LnJ,SHAM,2803,229.7,56,1960,842,10.2333
42,776,I/LnJ,SHAM,3864,278.7,56,2682,1183,11.5167
42,777,I/LnJ,OVX,4081,263.3,58,3258,823,7.4333
42,778,I/LnJ,OVX,2950,210.3,22,2255,695,7.2333
42,779,PERA/EiJ,SHAM,3058,209.4,112,1988,1071,22
42,780,PERA/EiJ,SHAM,2490,207.6,78,1748,741,22.1
42,781,PERA/EiJ,OVX,1287,112.7,72,1115,172,7.1833
42,782,PERA/EiJ,OVX,2340,140.9,57,1582,758,8.6
42,783,CZECHII/EiJ,SHAM,2284,143.9,41,1946,339,4.1333
42,784,CZECHII/EiJ,SHAM,2613,159.7,49,2264,346,5.6667
42,785,CZECHII/EiJ,OVX,1438,105.8,33,1257,183,3.4833
42,787,ZALENDE/EiJ,OVX,3302,201.2,105,2451,850,9.9167
42,788,ZALENDE/EiJ,OVX,2765,153.3,85,1919,847,12.0833
42,789,ZALENDE/EiJ,SHAM,2400,184.8,88,1682,717,18.6
42,790,ZALENDE/EiJ,SHAM,2385,165.5,95,1744,642,13.4
42B,791,P/J,OVX,2339,213.9,93,1956,384,7.8167
42B,792,P/J,SHAM,2914,239.2,109,2051,864,18.4833
42B,793,P/J,OVX,1667,156.9,67,1213,455,10.7667
42B,794,P/J,SHAM,1702,161.1,75,1281,421,12.7667
42,796,MOLF/EiJ,OVX,1352,139.1,57,1241,111,3.65
42,797,MOLF/EiJ,OVX,1709,146.7,91,1475,233,6.7
42,798,MOLF/EiJ,SHAM,2468,174.1,82,1961,507,21.9333
43,803,NOR/LtJ,OVX,2378,202.1,41,1432,944,13.3
43,804,NOR/LtJ,OVX,3340,280.7,0,2331,1009,18.0833
43,805,I/LnJ,OVX,3417,283.4,58,2040,1376,23.4333
43,806,I/LnJ,SHAM,3062,269.6,60,1914,1147,16.85
43,807,I/LnJ,SHAM,2780,229.1,49,1738,1042,16.8833
43,808,I/LnJ,OVX,3759,278.8,41,2099,1659,15.9833
43,809,CBA/J,OVX,1104,131,22,1002,102,5.65
43,810,CBA/J,OVX,1544,187.5,10,997,549,20.9667
43,811,CBA/J,OVX,756,114.6,0,662,92,9.1167
43,812,CBA/J,OVX,1198,139.2,0,983,216,12.35
43,813,CBA/J,SHAM,1145,140.3,10,978,167,13.0667
43,814,CBA/J,SHAM,1340,171.4,0,1127,215,14.85
43,815,C57BL/6J,OVX,3654,307.9,79,2568,1087,12.2
43,816,C57BL/6J,SHAM,2950,248.4,89,1838,1112,21.8833
43,817,BALB/cByJ,OVX,1001,120.7,5,967,34,1.0333
43,818,BALB/cByJ,SHAM,2706,224.5,79,2044,661,9.2833
43,819,BALB/cByJ,SHAM,2409,210.1,62,1920,490,7.9
43,820,BALB/cByJ,OVX,2480,219.3,47,2140,340,5.9
43,821,NON/ShiLtJ,SHAM,6278,363.6,130,5173,1106,9.5333
43,822,NON/ShiLtJ,OVX,3416,267.6,89,2676,738,10.8333
43,823,NON/ShiLtJ,OVX,2545,255.7,84,1885,660,13.9
43,824,NON/ShiLtJ,SHAM,3091,234.6,105,2181,909,12.85
43,825,NON/ShiLtJ,OVX,2351,212.5,78,1540,813,14.2
43,826,SEA/GnJ,OVX,2286,204.7,53,1922,364,7.15
43,827,SEA/GnJ,OVX,2910,239.1,87,2045,866,9.5833
44,832,ZALENDE/EiJ,OVX,2872,168.6,108,2423,449,5.2833
44,834,NZO/HILtJ,OVX,1058,98,32,1007,52,1.6167
44,836,NZO/HILtJ,OVX,663,58.4,54,602,61,8.7333
44B,842,KK/HIJ,OVX,894,95.5,30,816,78,6.7833
44B,843,KK/HIJ,OVX,908,98.3,24,815,93,4.5
44B,844,KK/HIJ,SHAM,1311,145.4,55,1037,271,12.5
44B,845,KK/HIJ,SHAM,1278,116.9,0,980,298,9.9833
45,847,I/LnJ,OVX,2204,159.9,38,1533,670,8.5667
45,849,I/LnJ,SHAM,1424,116.3,31,1168,254,4.2167
45,850,I/LnJ,OVX,2970,233,51,1902,1068,16.0833
45,851,I/LnJ,OVX,2537,211.6,30,1734,803,13.3333
45,853,I/LnJ,SHAM,2376,218.7,42,1852,525,9.0167
45,854,I/LnJ,OVX,2680,222.1,62,2238,442,6.9667
45,855,I/LnJ,OVX,3200,240.2,67,2345,855,11.1167
45,856,I/LnJ,SHAM,2472,199.9,74,1398,1074,18.3333
45,857,I/LnJ,SHAM,3495,264,55,2579,918,8.95
45,860,WSB/EiJ,SHAM,2804,199.2,74,2521,282,3.6167
45,861,WSB/EiJ,SHAM,3151,244.7,0,2576,574,7.1
42B,866,MOLF/EiJ,OVX,1628,117.7,80,1438,188,3.8667
42B,867,MOLF/EiJ,SHAM,2362,172.5,89,1902,460,8.4333
42B,868,MOLF/EiJ,SHAM,2249,166.2,100,1889,361,9.6667
42B,869,MOLF/EiJ,OVX,1937,157.8,67,1733,205,5.9
